PassengerId,Survived
605,1
699,0
171,0
576,0
705,0
241,0
537,0
738,1
455,0
670,1
185,1
128,1
523,0
94,0
675,0
631,1
770,0
585,0
532,0
768,0
879,0
227,1
228,0
480,1
519,1
729,0
39,0
647,0
754,0
797,1
607,0
439,0
215,0
487,1
630,0
809,0
9,1
403,0
577,1
483,0
838,0
484,1
335,1
36,0
512,0
423,0
426,0
741,1
208,1
177,0
221,1
393,0
644,1
665,1
826,0
288,0
714,0
302,1
612,0
800,0
569,0
854,1
410,0
180,0
584,0
4,1
219,1
127,0
91,0
168,0
54,1
78,0
778,1
232,0
350,0
62,1
311,1
70,0
13,0
205,1
548,1
861,0
134,1
90,0
114,0
424,0
236,0
55,0
250,0
796,0
795,0
207,0
415,1
294,0
196,1
712,0
245,0
781,1
282,0
520,0
560,1
837,0
571,1
513,1
708,1
573,1
722,0
76,0
198,0
199,1
849,0
629,0
106,0
847,0
637,0
88,0
263,0
64,0
165,0
18,1
442,0
179,0
129,1
748,1
216,1
190,0
824,1
38,0
871,0
790,0
735,0
194,1
336,0
77,0
247,0
135,0
83,1
494,0
449,1
214,0
491,0
344,0
674,1
52,0
719,0
367,1
586,1
337,0
869,0
730,0
66,1
37,1
774,0
380,0
273,1
435,0
347,1
229,0
161,0
812,0
349,1
533,0
372,0
112,0
152,1
531,1
271,0
11,1
296,0
197,0
163,0
98,1
534,1
399,0
734,0
724,0
755,1
269,1
671,1
420,0
355,0
742,0
868,0
395,1
545,0
886,0
859,1
481,0
443,0
669,0
195,1
695,0
274,0
676,0
45,1
721,1
489,0
57,1
732,0
460,0
370,1
596,0
132,0
620,0
813,0
501,0
31,0
697,0
681,0
224,0
30,0
821,1
48,1
68,0
332,0
538,1
836,1
253,0
239,0
299,1
873,0
611,0
351,0
771,0
643,0
700,0
693,1
463,0
438,1
222,0
820,0
726,0
324,1
93,0
492,0
635,0
173,1
784,0
839,1
530,0
226,0
74,0
522,0
100,0
475,0
575,0
382,1
69,1
140,0
51,0
316,1
92,0
87,0
535,0
1,0
111,0
255,0
53,1
690,1
285,0
248,1
488,0
238,1
579,0
50,0
731,1
319,1
371,1
